node 391865, add yield to all left turns
node 224487, add yield to all left turns
node 391712, add yield to all left turns
node 391563, add yield to all left turns
node 391758, add yield to all left turns
node 391785, add yield to all left turns
node 223907, add yield to all left turns
node 391811, add yield to all left turns
node 391824, add yield to left turn 391829
node 391798, add yield to all left turns
node 391831, add yield to all left turns
node 391852, add yield to all left turns
node 391530, add yield to all left turns
node 391498, add yield to all left turns
