Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour,number_of_vehicles_left_in_the_network
market fleet & binomial route choice&left turn yields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02E+13,100,0,0,0,1323.55,9594.39,2763.6,33580.4,690.901,33305,0,1326.49,0,1338.5,0,1211.75,0,1242.87,0,0.307217,0,0,0,6.22E-06,0,0,0,0,0,1.22679,0,1.48348,0,1.3332,0,31230,0,1019,0,703,0,353,311627,4.31E+06,1.09E+06,1.08E+06,9186,0,2470.37,0,2609.71,0,2249.07,0,2305.8,0,0.431757,0,0,0,2.08E-06,0,0,0,0,0,0.529311,0,0.796069,0,0.740041,0,8627,0,273,0,190,0,96,
2.02E+13,100,0,0,0,778.074,7305.04,2916.7,25567.6,729.175,34475,0,778.573,0,783.366,0,757.111,0,760.34,0,0.225896,0,0,0,6.13E-06,0,0,0,0,0,1.29104,0,1.49662,0,1.3158,0,32338,0,1046,0,723,0,368,309458,4.31E+06,1.08E+06,1.08E+06,6855,0,1134.71,0,1235.6,0,1087.9,0,1217.28,0,0.24038,0,0,0,6.71E-07,0,0,0,0,0,0.760849,0,0.912498,0,0.89451,0,6437,0,196,0,147,0,75,
2.02E+13,100,0,0,0,761.72,7320.65,2977.2,25622.3,744.3,34506,0,763.782,0,750.997,0,716.703,0,699.044,0,0.226155,0,0,0,7.37E-06,0,0,0,0,0,1.31816,0,1.51946,0,1.36194,0,32370,0,1046,0,723,0,367,309318,4.31E+06,1.08E+06,1.08E+06,7847,0,734.823,0,712.521,0,630.585,0,631.663,0,0.190586,0,0,0,6.23E-06,0,0,0,0,0,0.881434,0,1.10364,0,0.987828,0,7352,0,238,0,171,0,86,
2.02E+13,100,0,0,0,808.041,7549.63,3002.04,26423.7,750.509,34484,0,808.469,0,813.684,0,785.627,0,797.882,0,0.233344,0,0,0,8.13E-06,0,0,0,0,0,1.32206,0,1.55301,0,1.37777,0,32354,0,1049,0,718,0,363,1592.91,392.327,5575.17,98.0818,8171,0,832.413,0,959.439,0,783.11,0,777.477,0,0.2043,0,0,0,9.02E-06,0,0,0,0,0,0.957926,0,1.09284,0,0.977728,0,7673,0,237,0,173,0,88,
2.02E+13,100,5,20,0,779.708,7439.86,2915.15,26039.5,728.788,34743,728.695,793.394,767.219,777.691,634.643,808.33,813.324,737.421,0.224118,0.229106,0,0,5.04E-06,6.21E-06,0,0,0,0,1.14607,1.32139,1.29899,1.57474,1.24478,1.36236,6598,26019,233,819,143,564,68,299,309426,4.31E+06,1.08E+06,1.08E+06,7479,609.273,992.414,743.286,861.495,674.074,869.032,1027.22,775.333,0.17394,0.226023,0,0,7.33E-06,2.44E-06,0,0,0,0,0.785057,0.952131,0.997482,1.10972,0.737174,0.953431,1416,5588,56,184,27,124,18,66,
2.02E+13,100,0,0,0,808.041,7549.63,3002.04,26423.7,750.509,34484,0,808.469,0,813.684,0,785.627,0,797.882,0,0.233344,0,0,0,8.13E-06,0,0,0,0,0,1.32206,0,1.55301,0,1.37777,0,32354,0,1049,0,718,0,363,1592.91,392.327,5575.17,98.0818,8171,0,832.413,0,959.439,0,783.11,0,777.477,0,0.2043,0,0,0,9.02E-06,0,0,0,0,0,0.957926,0,1.09284,0,0.977728,0,7673,0,237,0,173,0,88,
2.02E+13,100,0,5,0,888.49,7955.14,2937.51,27843,734.377,34442,780.567,896.342,783.041,841.535,820.1,879.233,644.818,899.846,0.234122,0.246466,0,0,9.69E-06,6.59E-06,0,0,0,0,1.31767,1.34063,1.38785,1.55773,0.968664,1.37057,1681,30680,49,1008,30,652,11,331,1977.67,463.028,6921.85,115.757,8522,724.325,1051.24,698.417,989.176,719,944.84,1431,1210.28,0.199073,0.245373,0,0,0,3.08E-06,0,0,0,0,0.889782,1.08413,1.15012,1.27239,0.7994,1.25348,397,7635,12,233,6,162,1,76,
2.02E+13,100,0,10,0,776.763,7405.06,3046.18,25917.7,761.545,34469,759.187,778.192,797.915,790.989,739.563,771.141,834.139,786.962,0.234116,0.228608,0,0,4.32E-06,9.37E-06,0,0,0,0,1.29846,1.345,1.22269,1.57218,1.28817,1.3992,3232,29082,117,969,71,646,36,316,309331,4.31E+06,1.08E+06,1.08E+06,7996,640.731,734.8,677.062,709.027,767,713.549,789,718.184,0.181065,0.190111,0,0,5.82E-06,7.01E-06,0,0,0,0,0.84342,0.962164,0.890679,1.16954,1.114,0.944572,726,6764,32,226,16,144,12,76,
2.02E+13,100,0,15,0,766.298,7429.99,2940.11,26005,735.029,34606,723.166,775.17,759.081,738.539,662.716,788.441,773.891,727.59,0.228441,0.229159,0,0,4.40E-06,3.77E-06,0,0,0,0,1.2228,1.28297,1.2546,1.54427,1.19983,1.35212,4838,27600,186,913,109,598,55,307,309356,4.31E+06,1.08E+06,1.08E+06,7875,577.273,762.29,834.471,765.121,822.217,800.014,841,718.135,0.175453,0.197372,0,0,0,1.99E-06,0,0,0,0,0.779578,1.00661,1.09239,1.15226,0.848378,0.89708,1075,6349,34,182,23,144,16,52,
