Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Vehicle_Fleet,Overall_Travel_Time_Avg(s),Overall_Fuel_Used(gallon),Overall_Electricity_Used(kWh),Overall_Fuel_Cost($),Overall_Electricity_Cost($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV,Overall_Fuel_Used(gallon)_After1hour,Overall_Electricity_Used(kWh)_After1hour,Overall_Fuel_Cost($)_After1hour,Overall_Electricity_Cost($)_After1hour,Total_Number_of_Vehicles_After1hour,Travel_Time_ICE_Avg(s)_After1hour,Travel_Time_ICE_NONCAV_Avg(s)_After1hour,Travel_Time_BEV_Avg(s)_After1hour,Travel_Time_BEV_NONCAV_Avg(s)_After1hour,Travel_Time_PHEV_Avg(s)_After1hour,Travel_Time_PHEV_NONCAV_Avg(s)_After1hour,Travel_Time_HFCV_Avg(s)_After1hour,Travel_Time_HFCV_NONCAV_Avg(s)_After1hour,Fuel_Used_ICE_Avg(gallon)_After1hour,Fuel_Used_ICE_NONCAV_Avg(gallon)_After1hour,Fuel_Used_BEV_Avg(gallon)_After1hour,Fuel_Used_BEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_PHEV_Avg(gallon)_After1hour,Fuel_Used_PHEV_NONCAV_Avg(gallon)_After1hour,Fuel_Used_HFCV_Avg(gallon)_After1hour,Fuel_Used_HFCV_NONCAV_Avg(gallon)_After1hour,Electricity_Used_ICE_Avg(kWh)_After1hour,Electricity_Used_ICE_NONCAV_Avg(kWh)_After1hour,Electricity_Used_BEV_Avg(kWh)_After1hour,Electricity_Used_BEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_PHEV_Avg(kWh)_After1hour,Electricity_Used_PHEV_NONCAV_Avg(kWh)_After1hour,Electricity_Used_HFCV_Avg(kWh)_After1hour,Electricity_Used_HFCV_NONCAV_Avg(kWh)_After1hour,Vehicle_Count_ICE_After1hour,Vehicle_Count_ICE_NONCAV_After1hour,Vehicle_Count_BEV_After1hour,Vehicle_Count_BEV_NONCAV_After1hour,Vehicle_Count_PHEV_After1hour,Vehicle_Count_PHEV_NONCAV_After1hour,Vehicle_Count_HFCV_After1hour,Vehicle_Count_HFCV_NONCAV_After1hour,number_of_vehicles_left_in_the_network
20230809192015,100,10,0,0,2030,796.102,6009.06,13017.1,21031.7,3254.27,34856,0,798.279,0,786.844,0,790.62,0,809.855,0,0.230063,0,0,0,8.29395e-06,0,0,0,0,0,1.38576,0,1.58816,0,1.56363,0,26119,0,4199,0,4179,0,359,1344.45,2200.91,4705.57,550.227,8078,0,946.891,0,884.241,0,865.18,0,885.652,0,0.222075,0,0,0,5.2789e-06,0,0,0,0,0,1.04166,0,1.12334,0,1.18989,0,6054,0,963,0,972,0,89,155
20230809192416,100,10,10,0,2030,842.525,6220.75,13097,21772.6,3274.26,34930,800.07,845.809,743.109,849.143,729.03,864.282,773.971,899.692,0.23545,0.238696,0,0,3.62283e-06,6.76145e-06,0,0,0,0,1.2675,1.39821,1.41015,1.58599,1.133,1.66235,2629,23468,403,3808,438,3831,35,318,1438.48,2533.46,5034.66,633.365,8830,729.3,912.151,735.358,925.195,676.131,896.908,919.667,971.732,0.192328,0.220785,0,0,4.86468e-06,4.46237e-06,0,0,0,0,0.960516,1.11313,1.10207,1.16665,0.946808,1.29327,673,5929,81,968,99,992,6,82,219
20230809192817,100,10,20,0,2030,847.058,6279.71,13101.5,21979,3275.37,34990,780.01,861.388,839.123,864.703,789.492,859.538,894.958,818.366,0.234088,0.240925,0,0,4.10136e-06,7.96683e-06,0,0,0,0,1.35009,1.40277,1.48529,1.61538,1.3866,1.58487,5150,21061,840,3413,819,3352,71,284,1456.96,2452.16,5099.38,613.039,8730,756.381,995.022,800.628,946.181,811.553,1013.09,751.053,928.479,0.20172,0.225861,0,0,2.51699e-06,3.83662e-06,0,0,0,0,1.0636,1.06059,1.23772,1.20013,0.808767,1.3645,1191,5387,196,827,197,842,19,71,565
20230809193211,100,10,30,0,2030,800.452,6228.62,13198.3,21800.2,3299.59,35210,782.815,805.687,783.866,824.048,792.431,802.349,795.111,790.558,0.23679,0.235587,0,0,4.53344e-06,7.95741e-06,0,0,0,0,1.35207,1.44026,1.51033,1.61451,1.23503,1.58078,7962,18436,1195,3029,1296,2942,117,233,1258.24,2453.16,4403.86,613.29,8284,711.846,832.008,744.546,837.317,651.853,850.525,621.172,740.357,0.192576,0.208153,0,0,3.3309e-06,8.50099e-06,0,0,0,0,1.0984,1.13342,1.02935,1.3093,0.823805,1.25979,1847,4336,293,736,320,667,29,56,261
20230809193609,100,10,40,0,2030,849.23,6420.93,13110.3,22473.2,3277.59,35058,848.492,841.9,875.425,864.483,863.269,846.688,977.266,866.839,0.248465,0.241986,0,0,5.63076e-06,6.94776e-06,0,0,0,0,1.33589,1.43492,1.51766,1.62657,1.4407,1.62096,10427,15828,1727,2595,1665,2474,143,199,1265.01,2286.43,4427.53,571.606,8676,694.887,834.627,746.059,842.091,814.237,837.086,1089.6,996.3,0.184241,0.202755,0,0,3.66775e-06,3.82906e-06,0,0,0,0,0.890716,1.01686,1.0398,1.12757,1.18796,1.30469,2551,3921,438,626,426,617,47,50,290
20230809194024,100,10,50,0,2030,892.633,6677.52,13396.4,23371.3,3349.09,35189,889.654,893.624,883.204,902.352,874.41,911.459,1052.23,868.184,0.255976,0.252629,0,0,4.26001e-06,7.49886e-06,0,0,0,0,1.36068,1.45815,1.50739,1.66495,1.46708,1.68185,13208,13049,2128,2178,2181,2111,182,152,1495.24,2609.32,5233.33,652.331,9276,769.672,950.814,784.113,921.398,825.082,941.555,1039.36,934.95,0.202521,0.230073,0,0,4.4161e-06,6.57228e-06,0,0,0,0,0.978272,1.0668,1.14641,1.19493,1.20444,1.40988,3466,3448,542,593,594,537,56,40,244
20230809194449,100,10,60,0,2030,917.913,6971.68,13616.2,24400.9,3404.05,35585,947.83,886.781,912.808,897.81,909.163,882.964,912.077,846.904,0.268699,0.254848,0,0,4.30922e-06,7.15979e-06,0,0,0,0,1.34502,1.49379,1.51992,1.67344,1.40556,1.76106,15899,10593,2538,1738,2641,1784,235,157,1701.76,2980.57,5956.17,745.143,9896,862.599,886.48,823.136,904.019,830.674,897.724,838.032,873.189,0.227752,0.231883,0,0,4.88814e-06,7.7287e-06,0,0,0,0,1.03991,1.20236,1.21243,1.39869,1.14278,1.60486,4443,2975,698,478,712,490,63,37,40
20230809194925,100,10,70,0,2030,984.752,7113.87,13166.5,24898.6,3291.63,35078,1010.94,912.045,1013.99,929.715,1031.54,901.168,1170.01,865.702,0.275904,0.257315,0,0,5.71209e-06,6.51577e-06,0,0,0,0,1.37762,1.44368,1.57288,1.67047,1.42843,1.68253,18541,7766,2904,1267,2955,1292,249,104,1821.34,3010.41,6374.68,752.603,9952,1038.26,944.1,1025.31,1001.56,1090.63,919.226,1429.16,1027.12,0.249736,0.234535,0,0,7.16522e-06,5.99843e-06,0,0,0,0,1.07654,1.19012,1.24673,1.28278,1.22421,1.50115,5303,2119,830,363,872,363,76,26,360
20230809195420,100,10,80,0,2030,1124,7928.14,13067.7,27748.5,3266.91,35351,1153.89,1065.62,1109.42,1032.62,1084.27,1046.64,1156.51,963.576,0.303795,0.28096,0,0,6.05422e-06,8.06831e-06,0,0,0,0,1.37639,1.41803,1.5453,1.65345,1.42532,1.47954,21248,5243,3400,822,3437,858,277,66,2359.8,3116.79,8259.29,779.197,11316,1184.58,1193.48,1099.95,1198.34,1095.53,1153.63,1208.21,994.737,0.278371,0.272245,0,0,6.23193e-06,6.7843e-06,0,0,0,0,1.00128,1.13623,1.16862,1.27675,1.20794,1.10096,6927,1585,1089,244,1103,257,92,19,497
20230809200000,100,10,90,0,2030,1174.49,7906.49,13197.3,27672.7,3299.33,35187,1176.99,1065.76,1244.28,1075.95,1177.47,1081.65,1262.86,1018.12,0.302412,0.281565,0,0,6.02995e-06,1.08774e-05,0,0,0,0,1.39768,1.52222,1.5527,1.71776,1.43163,1.60128,23749,2573,3802,410,3873,436,319,25,2446.8,3574.25,8563.8,893.562,11386,1241.84,1208.39,1299.76,1118.54,1330.22,1253.58,1620.56,1756.8,0.288773,0.284393,0,0,6.33953e-06,1.49104e-05,0,0,0,0,1.1329,1.31659,1.30046,1.46437,1.24169,1.52804,7697,788,1293,127,1255,126,95,5,1394
