Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Overall_Travel_Time_Avg(s),Overall_Fuel_Used_Avg(gallon),Overall_Electricity_Used_Avg(kWh),Overall_Fuel_Cost_Avg($),Overall_Electricity_Cost_Avg($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV
2.02E+13,100,0,0,0,1152.71,0.25396,0.0790218,0.888859,661.077,33463,0,1153.15,0,1129.5,0,1165.51,0,1155.25,0,0.270688,0,0,0,3.22E-06,0,0,0,0,0,1.20251,0,1.40655,0,1.24593,0,31395,0,1015,0,696,0,357
2.02E+13,100,2,0,0,1152.71,0.25396,0.0790218,0.888859,661.077,33463,0,1153.15,0,1129.5,0,1165.51,0,1155.25,0,0.270688,0,0,0,3.22E-06,0,0,0,0,0,1.20251,0,1.40655,0,1.24593,0,31395,0,1015,0,696,0,357
2.02E+13,100,2,10,0,1184.6,0.256438,0.0780935,0.897532,659.637,33787,1219.84,1177.13,1291.99,1217.98,1355.64,1213.02,979.8,1290.69,0.279002,0.272894,0,0,1.42E-06,1.46E-06,0,0,0,0,1.18369,1.16263,1.18797,1.39086,1.40321,1.26187,3197,28481,117,947,70,625,35,315
2.02E+13,100,2,20,0,1291.36,0.268688,0.0725711,0.940408,616.963,34006,1359.13,1273.95,1572.32,1280.71,1283.73,1239.84,1086.65,1228.7,0.29487,0.283954,0,0,0,2.33E-06,0,0,0,0,0.90498,1.15128,1.08257,1.34595,1.28678,1.23259,6574,25351,233,805,142,549,68,284
2.02E+13,100,2,30,0,1348.16,0.274108,0.0695386,0.959379,581.447,33446,1416.08,1310.63,1851.77,1394.56,1663.82,1213.4,1439.06,1205.39,0.300611,0.287999,0,0,4.12E-06,1.84E-06,0,0,0,0,0.954116,1.13879,1.17437,1.26963,1.12464,1.16204,9542,21873,300,756,215,435,102,223
2.02E+13,100,2,40,0,1242.27,0.26115,0.0745605,0.914025,621.182,33325,1292.78,1201.33,1505.02,1292,1386.6,1137.67,1129.68,1190.69,0.286062,0.273264,0,0,1.87E-06,3.63E-06,0,0,0,0,1.05584,1.17258,1.1765,1.37359,1.24972,1.18635,12782,18467,394,627,309,403,150,193
2.02E+13,100,2,50,0,1229.75,0.258336,0.0743644,0.904174,618.024,33243,1265.99,1187.22,1418.31,1189.11,1273.77,1129.15,1272.99,1312.15,0.280787,0.270289,0,0,1.79E-06,2.94E-06,0,0,0,0,1.09217,1.1448,1.19783,1.30448,1.24518,1.28043,15779,15381,523,494,378,341,186,161
2.02E+13,100,2,60,0,1233.99,0.259875,0.0711243,0.909563,601.018,33801,1242.13,1206.1,1418.11,1224.48,1428.06,1300.32,1229.4,1157.68,0.278108,0.274299,0,0,1.45E-06,3.01E-06,0,0,0,0,1.0748,1.06959,1.24944,1.38629,1.21502,1.22758,19123,12635,610,383,421,273,215,141
2.02E+13,100,2,70,0,1304.49,0.267625,0.0702882,0.936686,580.053,33010,1317.02,1254.53,1444.51,1408.89,1409.33,1277.32,1290.34,1409.26,0.28736,0.278706,0,0,9.36E-07,3.01E-06,0,0,0,0,1.02063,1.12685,1.24224,1.3731,1.26602,1.25058,21917,9100,707,270,486,198,232,100
2.02E+13,100,2,80,0,1424.67,0.284684,0.0732356,0.996395,599.232,32729,1438.22,1329.41,1606.75,1385.99,1539.63,1220.35,1535.02,1737.9,0.306694,0.29123,0,0,3.29E-06,8.07E-07,0,0,0,0,1.04853,1.14428,1.27181,1.20789,1.30962,1.33385,24697,5985,843,198,538,122,275,71
